customer_id,full_name,age,gender,occupation,annual_income,risk_category,country,city,KYC_level,pep_flag,sanctions_flag,account_open_date,customer_type,expected_monthly_txn,avg_balance,device_count,ip_country,branch_id
22f8b708-3d94-4487-85b0-05120688c1de,Scott Williams,31,OTHER,Occupational hygienist,589148.64,MEDIUM,Georgia,New Karenmouth,VERIFIED,False,False,2023-06-25,INDIVIDUAL,15237.94,9180.65,3,Iraq,NOCX74855026397232
21c23db2-4467-4689-a380-0e6c5b689caf,Wyatt Lynch,35,OTHER,"Engineer, site",1396309.1,HIGH,Cuba,South John,PENDING,True,False,2022-02-01,BUSINESS,21230.37,72322.12,1,Tanzania,JZKL34212642984716
182b1d7d-40ff-4e5c-8cca-ad43143de6bc,Eric Stewart,59,OTHER,"Scientist, biomedical",1712838.82,MEDIUM,Iceland,Parksside,PENDING,False,False,2025-10-25,INDIVIDUAL,40782.88,47031.62,2,French Southern Territories,ZXBV37711099781105
f210a9e9-50cb-4934-bd83-d9bfeab17319,Dawn Brock,61,FEMALE,Plant breeder/geneticist,268522.92,MEDIUM,Kuwait,South Tiffany,VERIFIED,True,False,2024-02-21,INDIVIDUAL,22391.64,5081.64,3,Brunei Darussalam,AIAH63166744207934
d7432295-b024-4e95-9222-3d05144cd975,Brittany Davis,38,OTHER,"Scientist, research (maths)",1309224.68,LOW,France,West Danielland,PENDING,False,False,2025-09-19,INDIVIDUAL,31054.13,58320.92,2,Sao Tome and Principe,CAWV04104189528059
01516e3a-96f9-4857-9586-17ce40258ae6,Douglas Myers,26,FEMALE,Cabin crew,96566.77,LOW,Haiti,New Lynn,PENDING,False,False,2024-07-03,BUSINESS,36917.44,56333.59,1,Argentina,CDUO33101823499375
78a4f912-7ce2-4d41-9e10-6cf98cb1fc44,Bethany Richardson,73,OTHER,"Engineer, technical sales",269830.8,MEDIUM,Brunei Darussalam,West Briana,VERIFIED,True,False,2025-03-20,INDIVIDUAL,10954.73,16620.84,4,Nepal,JPCK70312339034615
fe8ea70e-836d-4bf2-91df-0b804d3965f1,Ryan Watkins,18,OTHER,"Clinical scientist, histocompatibility and immunogenetics",890578.73,MEDIUM,Belgium,Port Kellyfurt,PENDING,False,False,2022-07-26,BUSINESS,37625.67,21683.25,4,Cayman Islands,VLSL21370498959019
41b5ed44-d892-47cb-b0de-7c1446f9b023,Alyssa Walker,36,MALE,Futures trader,421947.47,MEDIUM,China,New Shannonhaven,VERIFIED,False,False,2023-12-30,BUSINESS,33499.28,27321.06,1,Jamaica,WFIC28512696920927
85b18840-9621-49aa-a382-7542bf94facc,Heather Pitts,81,MALE,Tax adviser,310796.75,MEDIUM,Chile,Alexisland,VERIFIED,False,False,2022-07-23,INDIVIDUAL,11206.85,95069.44,4,British Virgin Islands,PDQD78680603822551
4fa7b2ad-dd5d-498b-b000-ba47497b5fc9,David Gibson,48,MALE,Trade mark attorney,1106918.98,HIGH,Brunei Darussalam,Port Melissaville,PENDING,False,False,2024-12-09,INDIVIDUAL,1512.2,43531.85,3,Palau,HLJP65090705829679
5eb40d66-727e-4cc0-89de-276c7c9cd2ad,Larry Abbott,90,MALE,Insurance broker,890878.88,HIGH,Mayotte,Macdonaldland,VERIFIED,False,False,2025-08-29,INDIVIDUAL,3969.46,82521.08,4,Korea,OOVT22253690373040
e4946c1b-d738-47ae-9b6c-a0a05d421df1,Christopher Dillon,28,FEMALE,Biomedical scientist,42666.18,HIGH,Turkey,North Nicoleport,PENDING,False,False,2021-12-10,INDIVIDUAL,47668.74,34211.31,4,Portugal,QEWW75182611891656
eb0ad524-e124-46b4-94f2-6ba4584db38a,Ms. Michelle Keith MD,56,OTHER,Product manager,1291692.94,MEDIUM,Norway,Turnerfurt,PENDING,False,False,2021-08-30,BUSINESS,3824.83,90492.85,2,Comoros,QACS87444823521772
9ba1d8b8-acff-4556-8996-c8f8f0fa2b16,John Roberson,88,OTHER,Conference centre manager,1964515.05,MEDIUM,French Guiana,Durhamberg,PENDING,False,False,2024-05-21,INDIVIDUAL,2761.9,94780.34,2,Togo,AMZC90745919313400
4df9e031-0d38-461f-bf34-51736b25cc6b,Danielle Mcgee,76,FEMALE,Homeopath,1361747.88,HIGH,Dominican Republic,West Richardside,VERIFIED,False,False,2022-02-25,INDIVIDUAL,32876.55,59674.78,2,Svalbard & Jan Mayen Islands,LZSL18039945270240
6a4f964b-b7ce-48b7-abc4-bce983a9731a,Scott Lopez,51,MALE,"Programmer, applications",1810876.83,HIGH,Guinea,West Monica,VERIFIED,False,False,2024-06-04,INDIVIDUAL,761.41,24304.02,2,Georgia,YMKW34498647404004
